age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
21,student,single,high.school,no,no,no,cellular,aug,tue,259,1,1,failure,-2.9,92.201,-31.4,0.884,5076.2
42,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,888,3,0,nonexistent,-0.1,93.2,-42,4.021,5195.8
55,services,married,basic.9y,no,no,no,cellular,aug,wed,76,13,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
29,admin.,single,high.school,no,yes,no,telephone,nov,mon,207,1,1,success,-1.1,94.767,-50.8,1.05,4963.6
53,management,married,basic.4y,no,yes,no,cellular,nov,wed,63,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
35,management,married,university.degree,no,yes,no,cellular,nov,wed,265,2,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
46,services,married,professional.course,no,yes,no,telephone,may,tue,273,4,0,nonexistent,1.1,93.994,-36.4,4.856,5191
32,technician,married,professional.course,no,no,no,cellular,jul,tue,711,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
41,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,88,1,1,failure,-1.8,92.893,-46.2,1.313,5099.1
28,admin.,married,university.degree,no,no,no,cellular,may,tue,72,3,1,failure,-1.8,92.893,-46.2,1.291,5099.1
24,services,single,university.degree,no,no,no,cellular,jul,thu,113,6,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
30,admin.,single,university.degree,no,yes,no,cellular,aug,mon,39,1,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
22,student,single,high.school,no,no,yes,cellular,jul,fri,154,2,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
32,entrepreneur,single,university.degree,no,no,yes,cellular,nov,thu,126,1,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
38,technician,single,professional.course,no,yes,no,cellular,may,mon,202,3,1,failure,-1.8,92.893,-46.2,1.244,5099.1
59,retired,married,basic.4y,no,no,no,telephone,apr,tue,353,4,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1
31,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,159,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
76,retired,single,basic.4y,no,no,no,cellular,nov,mon,347,4,1,success,-3.4,92.649,-30.1,0.715,5017.5
33,admin.,single,university.degree,no,yes,no,cellular,aug,thu,686,4,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
59,retired,married,basic.4y,no,yes,no,cellular,aug,fri,94,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
28,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,225,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
33,blue-collar,single,basic.6y,no,yes,no,cellular,may,fri,474,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
41,services,married,high.school,no,no,no,cellular,mar,wed,377,6,0,nonexistent,-1.8,92.843,-50,1.778,5099.1
35,technician,married,professional.course,no,no,no,cellular,jul,thu,126,4,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
53,management,married,university.degree,no,no,no,cellular,aug,mon,313,4,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
35,technician,single,professional.course,no,yes,no,cellular,may,thu,141,1,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
34,housemaid,single,university.degree,no,no,no,telephone,jun,thu,267,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
42,admin.,married,basic.9y,no,no,no,telephone,apr,mon,406,3,1,failure,-1.8,93.075,-47.1,1.405,5099.1
36,self-employed,married,basic.9y,no,yes,yes,cellular,nov,thu,151,3,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
44,admin.,married,high.school,no,no,no,telephone,may,wed,228,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191
50,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,73,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
36,admin.,married,university.degree,no,yes,no,cellular,sep,fri,355,1,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5
27,technician,married,professional.course,no,no,no,cellular,jul,thu,102,9,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
25,technician,single,university.degree,no,yes,yes,telephone,jun,mon,35,6,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
29,management,married,university.degree,no,yes,yes,cellular,aug,tue,116,2,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
44,admin.,married,high.school,no,no,no,telephone,may,wed,83,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191
30,admin.,single,high.school,no,yes,no,cellular,jul,wed,605,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
37,self-employed,married,university.degree,no,yes,yes,cellular,aug,wed,585,2,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
57,technician,married,basic.9y,no,no,no,cellular,jul,tue,94,1,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
32,technician,married,professional.course,no,yes,no,cellular,jul,thu,255,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
54,admin.,married,professional.course,no,no,no,cellular,nov,tue,1868,2,1,success,-1.1,94.767,-50.8,1.035,4963.6
58,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,846,1,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
27,unemployed,single,university.degree,no,no,no,telephone,jun,wed,404,2,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
30,unemployed,married,high.school,no,yes,no,cellular,jul,tue,383,3,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
42,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,51,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191
48,housemaid,married,high.school,no,no,no,telephone,jun,tue,87,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
35,admin.,single,university.degree,no,no,no,cellular,aug,mon,167,2,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
30,services,married,high.school,no,no,no,telephone,jun,mon,151,3,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
28,technician,single,high.school,no,yes,yes,cellular,apr,thu,48,4,1,failure,-1.8,93.075,-47.1,1.41,5099.1
30,admin.,single,university.degree,no,yes,no,cellular,nov,tue,288,1,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
27,student,single,basic.9y,no,yes,no,cellular,aug,wed,111,1,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6
23,entrepreneur,married,university.degree,no,yes,no,cellular,aug,thu,87,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
31,self-employed,single,university.degree,no,no,no,cellular,aug,mon,209,1,2,failure,-1.7,94.027,-38.3,0.898,4991.6
43,self-employed,married,basic.9y,no,no,no,telephone,may,wed,173,2,0,nonexistent,1.1,93.994,-36.4,4.858,5191
52,technician,married,high.school,no,yes,no,telephone,may,mon,503,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
24,blue-collar,married,basic.9y,no,yes,yes,telephone,may,fri,101,6,0,nonexistent,1.1,93.994,-36.4,4.855,5191
35,blue-collar,single,basic.6y,no,no,no,cellular,nov,thu,370,1,1,failure,-0.1,93.2,-42,4.076,5195.8
59,technician,married,professional.course,no,no,no,cellular,jun,thu,1207,4,1,failure,-1.7,94.055,-39.8,0.742,4991.6
37,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,211,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
46,admin.,married,professional.course,no,no,no,cellular,apr,fri,609,1,1,failure,-1.8,93.075,-47.1,1.405,5099.1
26,technician,single,university.degree,no,yes,no,cellular,jul,fri,806,3,2,success,-1.7,94.215,-40.3,0.861,4991.6
40,management,married,university.degree,no,yes,no,cellular,aug,thu,77,6,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
40,management,married,university.degree,no,yes,no,cellular,may,tue,459,1,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1
29,admin.,single,university.degree,no,yes,yes,telephone,may,wed,266,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191
28,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,225,1,1,failure,-1.8,92.893,-46.2,1.266,5099.1
28,unemployed,single,university.degree,no,yes,no,cellular,may,mon,434,1,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
33,technician,married,professional.course,no,no,no,telephone,may,thu,191,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191
56,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,thu,82,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
57,retired,married,basic.9y,no,no,no,cellular,aug,tue,388,4,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
