"job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","nr.employed","age_group","prediction"
"management","divorced","high.school","no","no","no","cellular","nov","wed",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"retired","married","university.degree","no","no","no","cellular","aug","thu",1,1,"failure",-1.7,94.027,-38.3,4991.6,"Senior Citizens",1
"entrepreneur","divorced","professional.course","no","yes","no","cellular","jul","tue",3,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"housemaid","married","basic.4y","no","yes","yes","cellular","may","fri",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"admin.","married","university.degree","no","no","no","telephone","nov","thu",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"admin.","single","basic.9y","no","no","no","cellular","may","mon",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","married","professional.course","no","no","no","cellular","aug","mon",2,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"services","married","high.school","no","no","yes","cellular","jul","fri",3,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"retired","married","university.degree","no","yes","no","cellular","jun","wed",1,2,"failure",-2.9,92.963,-40.8,5076.2,"Adults",1
"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"management","married","high.school","no","no","no","cellular","aug","fri",3,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"technician","married","university.degree","no","yes","yes","cellular","sep","tue",2,1,"success",-3.4,92.379,-29.8,5017.5,"Young Adults",2
"admin.","single","university.degree","no","yes","no","cellular","may","thu",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"entrepreneur","divorced","university.degree","no","no","no","telephone","jun","thu",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"admin.","single","university.degree","no","yes","no","telephone","jun","fri",27,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"admin.","married","university.degree","no","yes","no","cellular","aug","thu",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"admin.","married","university.degree","no","no","no","telephone","may","wed",5,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"admin.","divorced","professional.course","no","yes","no","cellular","sep","wed",1,1,"failure",-1.1,94.199,-37.5,4963.6,"Adults",2
"entrepreneur","married","professional.course","no","yes","yes","cellular","oct","mon",1,2,"failure",-3.4,92.431,-26.9,5017.5,"Adults",2
"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"services","married","high.school","no","yes","no","cellular","apr","mon",1,0,"nonexistent",-1.8,93.075,-47.1,5099.1,"Adults",1
"blue-collar","divorced","basic.6y","no","yes","no","cellular","may","wed",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"admin.","single","university.degree","no","yes","no","cellular","jul","mon",3,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"services","divorced","high.school","no","no","yes","telephone","jun","mon",3,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",2,1,"success",-0.1,93.2,-42,5195.8,"Young Adults",2
"self-employed","married","university.degree","no","no","no","cellular","may","fri",1,1,"failure",-1.8,92.893,-46.2,5099.1,"Adults",1
"admin.","single","high.school","no","yes","no","cellular","may","tue",3,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"management","married","university.degree","no","yes","no","cellular","may","wed",4,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"technician","single","high.school","no","yes","yes","cellular","aug","tue",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"admin.","married","university.degree","no","yes","no","cellular","aug","thu",5,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"admin.","single","university.degree","no","yes","no","telephone","jun","wed",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"self-employed","single","university.degree","no","no","no","telephone","may","thu",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"unemployed","married","basic.9y","no","no","no","telephone","jun","fri",6,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"technician","single","university.degree","no","no","no","cellular","aug","tue",12,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"admin.","divorced","high.school","no","yes","no","telephone","jun","tue",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"retired","married","university.degree","no","yes","no","cellular","apr","thu",1,1,"success",-1.8,93.075,-47.1,5099.1,"Adults",2
"entrepreneur","divorced","university.degree","no","yes","no","cellular","nov","thu",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"admin.","married","university.degree","no","yes","no","telephone","may","tue",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"unemployed","single","university.degree","no","yes","yes","cellular","nov","tue",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"admin.","single","university.degree","no","no","no","cellular","aug","thu",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","married","basic.6y","no","yes","no","telephone","jul","wed",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"unemployed","single","high.school","no","yes","no","cellular","jul","mon",5,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"blue-collar","married","basic.9y","no","no","no","cellular","nov","tue",2,1,"failure",-0.1,93.2,-42,5195.8,"Adults",1
"self-employed","married","university.degree","no","yes","no","telephone","may","fri",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"blue-collar","single","basic.6y","no","yes","no","telephone","jul","tue",5,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"management","married","professional.course","no","no","no","cellular","nov","tue",2,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"technician","married","professional.course","no","yes","no","telephone","may","wed",6,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"management","married","university.degree","no","no","no","cellular","jul","tue",2,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"services","married","high.school","no","yes","yes","cellular","may","thu",3,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"services","single","basic.9y","no","yes","no","cellular","apr","thu",2,0,"nonexistent",-1.8,93.075,-47.1,5099.1,"Young Adults",1
"entrepreneur","married","professional.course","no","no","no","telephone","may","mon",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"blue-collar","married","basic.6y","no","yes","no","telephone","jul","thu",2,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"blue-collar","married","basic.9y","no","no","no","telephone","jun","tue",1,0,"nonexistent",-1.7,94.055,-39.8,4991.6,"Young Adults",1
"management","married","university.degree","no","yes","no","cellular","jul","wed",1,0,"nonexistent",-2.9,92.469,-33.6,5076.2,"Adults",1
"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",1,0,"nonexistent",-2.9,92.469,-33.6,5076.2,"Adults",1
"blue-collar","married","basic.6y","no","yes","no","telephone","jun","wed",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"management","married","university.degree","no","yes","yes","cellular","nov","wed",1,1,"failure",-0.1,93.2,-42,5195.8,"Adults",2
"admin.","married","university.degree","no","no","no","telephone","jun","mon",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"entrepreneur","married","university.degree","no","yes","no","cellular","nov","tue",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"management","divorced","basic.6y","no","yes","no","cellular","nov","thu",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"blue-collar","married","high.school","no","no","yes","cellular","jul","mon",4,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"retired","married","basic.9y","no","no","yes","cellular","may","wed",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"self-employed","married","professional.course","no","yes","no","telephone","jun","wed",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"blue-collar","divorced","basic.9y","no","yes","no","cellular","may","tue",1,1,"failure",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","single","high.school","no","no","no","cellular","jul","wed",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"blue-collar","married","professional.course","no","yes","yes","cellular","may","fri",3,1,"failure",-1.8,92.893,-46.2,5099.1,"Adults",1
"blue-collar","married","basic.9y","no","yes","no","cellular","apr","thu",1,1,"failure",-1.8,93.075,-47.1,5099.1,"Young Adults",1
"retired","married","basic.4y","no","no","no","cellular","apr","tue",1,1,"failure",-1.8,93.075,-47.1,5099.1,"Senior Citizens",2
"management","married","university.degree","no","no","yes","cellular","aug","wed",2,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"management","married","university.degree","no","yes","no","cellular","may","thu",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"admin.","divorced","university.degree","no","no","no","cellular","apr","mon",1,0,"nonexistent",-1.8,93.075,-47.1,5099.1,"Adults",1
"services","single","professional.course","no","yes","no","telephone","may","mon",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"technician","married","professional.course","no","yes","no","cellular","aug","mon",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"retired","divorced","high.school","no","yes","no","cellular","jun","tue",1,0,"nonexistent",-2.9,92.963,-40.8,5076.2,"Adults",2
"admin.","married","university.degree","no","no","yes","telephone","may","wed",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"admin.","married","university.degree","no","no","no","cellular","nov","mon",2,0,"nonexistent",-1.1,94.767,-50.8,4963.6,"Young Adults",2
"technician","divorced","professional.course","no","no","no","telephone","may","wed",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"blue-collar","divorced","basic.4y","no","no","no","telephone","jun","wed",1,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"technician","divorced","professional.course","no","yes","yes","cellular","jul","tue",14,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"technician","divorced","professional.course","no","yes","no","cellular","nov","tue",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"admin.","married","high.school","no","yes","no","cellular","jul","fri",6,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"technician","single","professional.course","no","yes","no","cellular","aug","thu",2,1,"success",-2.9,92.201,-31.4,5076.2,"Young Adults",2
"services","single","high.school","no","yes","no","telephone","may","fri",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"blue-collar","married","basic.9y","no","yes","no","cellular","apr","mon",2,0,"nonexistent",-1.8,93.075,-47.1,5099.1,"Adults",1
"services","married","high.school","no","no","yes","cellular","nov","thu",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"admin.","divorced","university.degree","no","yes","no","cellular","aug","mon",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"housemaid","married","basic.4y","no","no","no","telephone","sep","tue",3,2,"success",-1.1,94.199,-37.5,4963.6,"Senior Citizens",2
"blue-collar","married","basic.4y","no","yes","no","cellular","jul","mon",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"unemployed","single","university.degree","no","yes","no","cellular","jul","tue",1,3,"success",-1.7,94.215,-40.3,4991.6,"Young Adults",2
"technician","single","university.degree","no","yes","no","cellular","aug","wed",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"blue-collar","married","basic.4y","no","yes","no","cellular","aug","tue",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","married","basic.9y","no","no","no","cellular","jul","wed",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"admin.","single","high.school","no","yes","yes","cellular","may","wed",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"unemployed","married","high.school","no","yes","no","cellular","nov","thu",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"admin.","single","high.school","no","yes","no","cellular","nov","mon",2,2,"failure",-1.1,94.767,-50.8,4963.6,"Adults",1
"admin.","single","high.school","no","no","no","cellular","may","mon",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"admin.","single","high.school","no","no","no","cellular","nov","mon",2,2,"failure",-1.1,94.767,-50.8,4963.6,"Young Adults",1
"admin.","married","high.school","no","yes","no","cellular","oct","fri",3,1,"success",-1.1,94.601,-49.5,4963.6,"Adults",2
"admin.","married","university.degree","no","yes","no","cellular","may","fri",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","married","high.school","no","yes","no","telephone","may","fri",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"admin.","married","high.school","no","yes","yes","telephone","jun","wed",10,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"blue-collar","married","professional.course","no","no","no","cellular","nov","fri",1,0,"nonexistent",-1.1,94.767,-50.8,4963.6,"Adults",2
"admin.","married","university.degree","no","yes","no","cellular","aug","tue",6,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"technician","married","professional.course","no","no","no","telephone","may","fri",3,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"technician","married","university.degree","no","yes","no","cellular","aug","wed",7,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","married","basic.9y","no","yes","yes","telephone","may","wed",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"retired","single","professional.course","no","yes","no","telephone","may","mon",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"blue-collar","married","basic.9y","no","no","no","cellular","aug","fri",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"management","married","university.degree","no","yes","yes","telephone","jun","wed",1,0,"nonexistent",-2.9,92.963,-40.8,5076.2,"Young Adults",1
"entrepreneur","married","university.degree","no","yes","no","telephone","may","tue",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"retired","married","high.school","no","no","no","cellular","may","mon",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"management","married","university.degree","no","yes","no","cellular","may","thu",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"admin.","married","high.school","no","yes","no","cellular","aug","fri",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","married","basic.6y","no","yes","no","cellular","may","mon",3,1,"success",-1.8,92.893,-46.2,5099.1,"Adults",2
"self-employed","married","high.school","no","no","no","cellular","aug","tue",3,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","married","basic.6y","no","no","no","cellular","aug","fri",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","single","basic.9y","no","no","no","cellular","nov","wed",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"services","single","basic.9y","no","no","no","cellular","nov","tue",2,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"blue-collar","married","basic.6y","no","yes","no","cellular","apr","fri",1,1,"failure",-1.8,93.075,-47.1,5099.1,"Young Adults",1
"blue-collar","married","basic.9y","no","no","no","cellular","nov","tue",1,1,"failure",-0.1,93.2,-42,5195.8,"Adults",1
"blue-collar","divorced","high.school","no","yes","yes","cellular","jul","mon",2,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"technician","married","professional.course","no","no","no","telephone","may","tue",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"technician","married","university.degree","no","yes","no","cellular","may","wed",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Adults",1
"student","single","university.degree","no","no","no","cellular","nov","thu",2,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"student","single","high.school","no","no","no","cellular","aug","tue",1,1,"failure",-2.9,92.201,-31.4,5076.2,"Young Adults",1
"self-employed","married","university.degree","no","yes","no","cellular","nov","fri",3,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"services","married","basic.9y","no","no","no","cellular","aug","wed",13,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"admin.","single","high.school","no","yes","no","telephone","nov","mon",1,1,"success",-1.1,94.767,-50.8,4963.6,"Young Adults",2
"management","married","basic.4y","no","yes","no","cellular","nov","wed",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"management","married","university.degree","no","yes","no","cellular","nov","wed",2,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"services","married","professional.course","no","yes","no","telephone","may","tue",4,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"technician","married","professional.course","no","no","no","cellular","jul","tue",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"blue-collar","divorced","basic.9y","no","yes","no","cellular","may","fri",1,1,"failure",-1.8,92.893,-46.2,5099.1,"Adults",1
"admin.","married","university.degree","no","no","no","cellular","may","tue",3,1,"failure",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","single","university.degree","no","no","no","cellular","jul","thu",6,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"admin.","single","university.degree","no","yes","no","cellular","aug","mon",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"student","single","high.school","no","no","yes","cellular","jul","fri",2,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"entrepreneur","single","university.degree","no","no","yes","cellular","nov","thu",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"technician","single","professional.course","no","yes","no","cellular","may","mon",3,1,"failure",-1.8,92.893,-46.2,5099.1,"Adults",1
"retired","married","basic.4y","no","no","no","telephone","apr","tue",4,0,"nonexistent",-1.8,93.075,-47.1,5099.1,"Adults",2
"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"retired","single","basic.4y","no","no","no","cellular","nov","mon",4,1,"success",-3.4,92.649,-30.1,5017.5,"Senior Citizens",2
"admin.","single","university.degree","no","yes","no","cellular","aug","thu",4,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"retired","married","basic.4y","no","yes","no","cellular","aug","fri",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","married","basic.9y","no","yes","no","cellular","jul","mon",3,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"blue-collar","single","basic.6y","no","yes","no","cellular","may","fri",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","married","high.school","no","no","no","cellular","mar","wed",6,0,"nonexistent",-1.8,92.843,-50,5099.1,"Adults",2
"technician","married","professional.course","no","no","no","cellular","jul","thu",4,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"management","married","university.degree","no","no","no","cellular","aug","mon",4,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"technician","single","professional.course","no","yes","no","cellular","may","thu",1,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"housemaid","single","university.degree","no","no","no","telephone","jun","thu",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"admin.","married","basic.9y","no","no","no","telephone","apr","mon",3,1,"failure",-1.8,93.075,-47.1,5099.1,"Adults",1
"self-employed","married","basic.9y","no","yes","yes","cellular","nov","thu",3,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"admin.","married","high.school","no","no","no","telephone","may","wed",3,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"admin.","divorced","university.degree","no","yes","no","cellular","aug","tue",2,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"admin.","married","university.degree","no","yes","no","cellular","sep","fri",1,0,"nonexistent",-3.4,92.379,-29.8,5017.5,"Adults",1
"technician","married","professional.course","no","no","no","cellular","jul","thu",9,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"technician","single","university.degree","no","yes","yes","telephone","jun","mon",6,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"management","married","university.degree","no","yes","yes","cellular","aug","tue",2,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"admin.","married","high.school","no","no","no","telephone","may","wed",3,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"admin.","single","high.school","no","yes","no","cellular","jul","wed",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"self-employed","married","university.degree","no","yes","yes","cellular","aug","wed",2,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"technician","married","basic.9y","no","no","no","cellular","jul","tue",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"technician","married","professional.course","no","yes","no","cellular","jul","thu",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"admin.","married","professional.course","no","no","no","cellular","nov","tue",2,1,"success",-1.1,94.767,-50.8,4963.6,"Adults",2
"blue-collar","married","basic.9y","no","yes","no","cellular","aug","mon",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"unemployed","single","university.degree","no","no","no","telephone","jun","wed",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"unemployed","married","high.school","no","yes","no","cellular","jul","tue",3,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"housemaid","married","high.school","no","no","no","telephone","jun","tue",1,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"admin.","single","university.degree","no","no","no","cellular","aug","mon",2,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"services","married","high.school","no","no","no","telephone","jun","mon",3,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"technician","single","high.school","no","yes","yes","cellular","apr","thu",4,1,"failure",-1.8,93.075,-47.1,5099.1,"Young Adults",1
"admin.","single","university.degree","no","yes","no","cellular","nov","tue",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Young Adults",1
"student","single","basic.9y","no","yes","no","cellular","aug","wed",1,0,"nonexistent",-1.7,94.027,-38.3,4991.6,"Young Adults",2
"entrepreneur","married","university.degree","no","yes","no","cellular","aug","thu",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"self-employed","single","university.degree","no","no","no","cellular","aug","mon",1,2,"failure",-1.7,94.027,-38.3,4991.6,"Young Adults",2
"self-employed","married","basic.9y","no","no","no","telephone","may","wed",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"technician","married","high.school","no","yes","no","telephone","may","mon",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"blue-collar","married","basic.9y","no","yes","yes","telephone","may","fri",6,0,"nonexistent",1.1,93.994,-36.4,5191,"Young Adults",1
"blue-collar","single","basic.6y","no","no","no","cellular","nov","thu",1,1,"failure",-0.1,93.2,-42,5195.8,"Young Adults",1
"technician","married","professional.course","no","no","no","cellular","jun","thu",4,1,"failure",-1.7,94.055,-39.8,4991.6,"Adults",2
"blue-collar","single","basic.9y","no","no","no","telephone","may","wed",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"admin.","married","professional.course","no","no","no","cellular","apr","fri",1,1,"failure",-1.8,93.075,-47.1,5099.1,"Adults",1
"technician","single","university.degree","no","yes","no","cellular","jul","fri",3,2,"success",-1.7,94.215,-40.3,4991.6,"Young Adults",2
"management","married","university.degree","no","yes","no","cellular","aug","thu",6,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
